Title,Comment
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net","imagine if those two chinese vessels didn't crash to each other and our own vessel was hit, the sheer displacement and tonnage of those ships will tear our vessel to pieces drowing our sailors. they have no intent on harassment anymore, they aim to sink our ships now."
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",naku pano yan mga didilis
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",thanks uncle sam
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",lapit na.... let's get ready to rumble....
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net","dds: i am not a filipino for nothing, feeling makabayan pero pro china naman."
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",magagalit na naman ang mga dds. hindi dapat kinokontra ang china.
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",jr & the gang is pushing us to the brink of war with china. then when it starts they’ll scamper out of the country with the plundered loot from the country. we will be left holding what remains in the country & fight it out with china? wag naman….
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net","expecting a big response from the chinese on the incident which is due to their incompetence, this is probably a precautionary measure to protect our fisheremen and coast guard."
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net",pkitaan na kz ng pangil ng pinas..pilit nlang aangkinin bang hindi sknla.
"breaking news: two us navy warships are deployed off panatag (scarborough) shoal days after the collision of chinese ships there, the philippine coast guard confirms. uss higgins (ddg-76) and uss cincinnati (lcs-20) are monitored at a distance of 30 nautical miles away from panatag shoal, according commodore jay tarriela, pcg spokesperson for the west philippine sea. | via john eric mendoza, inquirer.net","i know some people here don’t appreciate this latest development, especially in light of the recent collision involving chinese vessels. for the record, i would still prefer a u.s. presence over a chinese presence that ultilizes bullying tactics against our pcg in the wps."
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",national security ba yan nbi???
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",batse na si baste
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news","babalik sya bukas ng gabi, bakit"
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",ulawan noon ta ani da
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",we shall say torre called his bluff and baste chickened out torre chose to fight while baste chose flight :airplane:
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",nkakabingi ang ingay ng mga ignoranteng trolls. they don't even know how to defend their coward god..
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",draw pala ang laban — drawing
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",awit natakot sya nagsabi suntukan hahaha
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news",tawang tawa si baste ngayon nautakan na nmn hahahaha
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news","duwag din pala, kaya wag sya maghamon ng suntukan even barilan kay gen.torre"
"baste off to singapore davao city acting mayor baste duterte has left the country to fly to singapore, based on intel from the bureau of immigration. national bureau of investigation director jaime santiago reported that duterte, along with his family and staff, flew to singapore. he is supposed to face philippine national police chief nicolas torre iii in a charity boxing match on sunday. | via one news","ang tapang, manang mana kay tatay digs"
