Title,Comment,Final Sentiment,Final Polarization
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","best ideas ,,educate to earn than to always feed them","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ito dapat ba… yong mga pork barrel dapat sa kada livelihood kada brgy mapunta…","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sa sobrang talino na ng mamamayan alam na nila i way yan.. parang pusoy lahat may paraan.. tanggalin na lahat yan total nabuhay naman sila noong walang ganyan na programa.. chaka ang makikinabang lang jan ng lalo yung mga kurakot sa lipunan.. di ko na lalahatin pero lahat na kayo.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tama po senator,maganda po yan,sulosyon sa pagmatagalang kahirapan","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","hndi po habang buhay ang 4ps may katapusan din po yan at dipende po sa tao hndi po lahat nagsususgal ,pinapaimon po magtanong po kau sa.mga nakapagtapos ng kanila mga anak at naggraduate po sa 4ps bago po kau magsalita","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","rechannnel the ayuda to 4ps in agriculture and fishery projects","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","maghintay nlang ng ayuda dia magtrabaho,gobyerno ginagawa nyon juan tamad ang mga pilipino.hindi sla dapat maghirap kc magtanim ng gulay palay kamote pwede na pagkain,paano sinanay nyo.kya dpat abolish na ang 4ps,akap,tupad. atb pa!","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ung iba nman dpat ang isala s 4ps nyan","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tama dpat epundar nalang ito to improve the health system dapat strictly implemented ang mga hightech na gamit sa public hospital, available na doctors at more hospital beds yan makinabang parin ang mahihirap once magkasakit mayayaman my mga private health insurance naman.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","trabaho po ibigay nio ng matutu cla maghanap buhay","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","lumalaki na utang ng pinas yan pera na pinamimigay ng pulitiko nagkakapera din sila dyan","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","why give so much attention to the stand by lazy just waiting for 4p's, why not give capital to those worker out of work as an alternative way to earn income to support their family. like the street sweeper, habal habal street vendors and those mangalkal (gathering junks)","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ilang beses pwede manghingi ng kapital kapag hindi nag boom ang negosyo? meron na livelihood program sa mga barangay diba?","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","better education and create jobs for the people !","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","include akap, aics, tupad","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bigyan ng capital yung iba na beneficiaries nyan no read no write! anong kaya mangyari baka 1 day ubos yan","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","e kung sa mga micro enterprise nalang ibigay para mabigyan sila ng trabaho…","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","di lahat nang member mahirap, yong iba nag hiraphirapn lang para maka pasok tapos yong iba naman ang ginagawa 3/4 sa nakukuha capital sa sugal baka naman kasi ma double.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","teach them how to fish","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dapat lang bigyan ng livelihood program.hnd yung pera kung sino yung marunong mangingisda bigyan ng motor boat ..yung hndi marunong mangingisda big yan ng hayop. 4pz .scatter member.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","better sir. nice proposal","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yes sir dapat abolish ung torpis na yan d gaanong nakakatulong.yong pera ipambili na lang ng producto nming magsasaka.","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","di pa tapos yung hulugan na motor lol","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yes, livelihood seminar , then livelihood capital","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","former dswd sec. tulfo, are you familiar with the tatsulo?","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yan dapat ang ginawa noon pa para di nauubos ang pondo ng bayan livelihood program","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","maypa kaysa todloan ninyong mahimong inutil ang mga tawo","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","need mg effort gyud sila","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","lahat ng 4ps araw araw mglinis ung legit na linis ah ndi ung after 30 mins ung mghapon prang mmda atleast ngbigay na kayo ng pera eh ung labor sakanila","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","enable individuals to fish, rather than give them fish. there's more dignity in working for livelihood, than receiving dole-outs","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","do not give them fish... instead teach them. how to fish","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","give them a real job","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","wag mong bag uhin tulfo masadong mahirapan tao kabos.","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","mula masagana 99, barangay bagsakan centers, food terminal.. cooperatives , green houses, one town one product, etc. ang dami ng govt. programs na pinunduhan at sinimulan... sustainability..? sino nakinabang sa mga pundo?","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bigyan ng bingwit upang mangisda","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dili tanan mga relice mag pa rebond oi igasto na sa estudiante mga ma'am ang sir","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","s loob ng kada ika-dalawa or ikatlong buwan nttanggap ko ayuda s4p's n 5k, eh napakabobo mong tao kung yan nlang aasahan mo at magpapakatamad kna lalo n kung mayron kpa pinapag aral n mga anak s college man or elementary, eh s pgkain lng s araw araw ng isang pamilya mgkano b estimated nyo mga 10 pesos lng b per day pra wag n kumilos at s ayuda nlang umasa?!!!! bago kau magdakdak ng magdakdak jan about s mga member ng 4p's , mgresearch and aralin nyo muna kung ano ang mga layunin ng programa.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","cge lng inum sugal mga parents ng 4ps..","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tama... turuang maghanapbuhay.","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sana po ako rin","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime… nakita ko lng sa google copy paste lng","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","good moves bigyan ng pagkikitaan para maging sustainable ang kanilayng income ..","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","totoo nman na dpat livelihood ang ibigay hnd puro pera pra matuto cla magpursigi","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","pangkabuhayan nlang ibigay maganda pa","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sustainable livelihood ba?","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","the biggest problem is attitude...whether 4ps or livelihood uubusin din yan at gagamitin sa kung anu2. the situation is really getting worse, mga politiko ginagamit ang 4ps at ayuda to thier advantage. yung mga tao naman, imbes gamitin para sa mga anak, ayun tanduay binibili.","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","samot na kay kwarta ang pang livelihood,, aw dali kaayo mahurot ba,,, sos tanan nlng mga tawo mg negosyo,, hahaha only in the philippines,, cge pa more ayuda pa more,, . lubog na sa utang ang nasod","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","may pangscatter na naman tayo mga idil","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","naisip nyo yun? hahahaha","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","mahigit 1.5 million households na ang grumaduate mula sa kahirapan dahil sa 4ps. tinutulungan nito grumaduate mula sa pag aaral ang mga mahihirap. takot sila tulfo and mga pulitiko grumaduate ang mga mahihirap dahil hindi nila na mauuto!","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sen.erwin tulfo.ibubuto paba?","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ayy nako..wag 4ps pag usapan nyo..kondi banatayan nyo ang caban ng bayan.kasi malaki utang ng pilipinas sa ibang bansa","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","trabho dapat ibigay and libre sa pag aaral,lalo na pag college level na,","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","pork barrel nalang ipalit","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","isa sa mga dahilan na naghihirap ang pilipinas dahil marami ang walang trabaho na mga pinoy at nakadepindi lang sila ng tulong ng gobyerno..meaning dapat magbigay ang ating gobyerno ng maraming trabaho para ang mga tao hindi magdepindi sa gobyerno..tapos bawasan ang sweldo ng mga politiko na wala naman ginagawa..tapos tanggalin ang mga sop sa mga projects kasi dyan nagsisimula ang corruption..","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","magsurvey po muna kau pra jan sa gusto nyung project boss bka mamaya puro kamag anak na my sari sari store ang mabigyan tas maging grocery na","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","item n lng ang ibigay, iniinom at sinusugal lng ang pera","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","alisin niyo nlng ung grade 11 at 12. dagdag gastus lang..","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","epektibo ang 4ps para sa maralitang pamilya, nagbibigay ng pag-asa at kasangkapan upang labanan ang kahirapan at tulong sa makapagtapos ng pag-aaral ang mga batang maralita. dapat higpitan ang implementasyon, at kaalinsabay na maayos at masinop na pagsubaybay sa mga benepirsaryong pamilya. magkaiba ang 4ps kumpara sa mga ayuda tulad ng livelihood at katulad nito, na walang kapalit na katiting na pawis at pagod. sa 4ps, may monitoring and evaluation (pagsubaybay at ebalwasyon), sa ayuda ay walang panukatan sa nakamit na tagumpay at wala rin batayang ebalwasyon.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ok. tindahan to the left and right na yan. lol.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","believe ko sa tulfo dri dapita","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","isang beses lng mag bibigay ang gobyerno ng ayuda dapat pamalago ng mga mka avail ...","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sana totoo iyan tulfo.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","pero sa distribution sana may observer kase meron jan member ng 4ps pero may malaking tindahan,meron din retired na malaki ang pension, meron din may maayos na trabaho pa..at lahat nyan malapit sa barangay at sa purok leader at coordinator o auditor kaya dapat man manan yan dahil kawawa yung mga totoong nangangailangan ng tulong.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","a very good decision to make","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","very timely.. salute to senator erwin tulfo pag nag materialize yan! si fpgma may pakana ng 4ps para sa boto!","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","kilalanin mo ang programa niyo dahil existing na yan slp","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dangerous yan, besides hindi maraming tao ang may talento sa pagnenegosyo, may programa nman ang gobyerno pra sa maliliit na pagnenegosyo. isip ka pa ng iba sir...","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dpat pngkabuhayan ibgay sknla...tapos pinipili p nla benefiaciary nla...dpat sna maranasan din ng lhat sna...kso gnyan nmn..kya buwagin nu nlng yan...d nmn pantay yan eh","negative","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dapat ituon yan sa mga nayon o mga liblib na lugar. un pwede sila mag alaga hayop o magtanim kaya katulad ng ginagawa ng ibang ngo","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","make more classroom, to make more teacher deploy a micro police station each brgy deploy a nurse and a doc each brgy","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","the best idea but how","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","maraming nang livelihood ang pinundar ng goberno peru nasaan na? it's a waste of resources. the majority of filipinos are not business oriented. most of us are focused on employment. bakit hindi natin gawin instead na 4ps ilaan yan sa mga skill-base training tapos ipadala natin sa ibang bansa for employment or even in local employment. problema nga lang sa iba gusto magtrabaho peru manager dapat ang position.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","trabaho para sa mga tapulan","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","gumawa ka nag sarile mong pangalan.wag mong buwagin yong maraming nang natulongan,...","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","4ps should not be forever. it should only provide assistance for them to find work.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","turuang magbanat ng buto para alam nila kung gano kahirap","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","maraming may akala yata na ang 4ps ay parang ayuda lang.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sir tama po yan hinto po kc hindi lahat ng totoo mahihirap ay kasali may kasali katulad nmin na bulag asaw akobqtvmay tatlong anak n pinag aaral at wala po ako trabaho kundi maglalako lng pra pandagdag pero hindi parin kami kasali mga bulag pilay pipi at bingi nalang po sir ang dqpat may ganyan tulad ng mga walang kapansan eh kaya n talaga nilang maghanap buhay mga bulag bingi at pipi nagpapalimos po bkit po hindi ninyo yan napapansin puros lang sila 4ps","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yan naman dapat ang follow up sa 4ps , livelihood program. ilang taon na pero hindi niyo pa rin nagawan ng batas. yung alisin niyo ay ang akap at tupad.","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","mindset ng may panukala na alisin ang 4ps anti poor at pro communism yan di dapat manungkulan sa yobyerno yan","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tangalin na lang tupad at 4 ps ... sa tupad pictur picture na naglilinis , tapos tapos na, . 4ps tuwang tuwang yun mga sugarol at mangungutang kasi may pambayad sila pag sahod na .","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tanggalin nyo n yn nd alike at gna gawa nyo lng tmad mga pilipino ar tuluyang umasa s inyo at unfair yn s mga ng work pra lng m buhy....","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","gawin nyo po tagawalis ng kalsada at mga ilog ,taga tanim at taga alaga ng mga puno ... para nagtatrabaho sila","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tama po yan wala ng ginawa nag hintay nalang kada buwan parang sahod na rin yan tapos sino sugal at alak","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yun nga purpose ng 4ps,","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","mabuti pa nga.","positive","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dont give fish but teach them how to catch fish","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yan right moves po yan! tama yung plano mo","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","they shouldlearn how to live, not to remain dependent on aid from gov.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","i agree with this. teach the people how to catch a fish instead.","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","fund scholarships for the poor. it will help build their dreams and soon hindi na sila aasa sa gobyerno. palagi na lang educational assistance.. hindi yan nakakatulong sa kanila and not even sustainable.... by allocating scholarship fund for the college students who are poor, kung maka tapos sila, its the true pantawid help of the government. though there are lots of state colleges and universities around, poor students cant make it through.. walang pang allowance for food, transportation and boarding house. hope the national government will act favor for the poor college students.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sir ung iba po jn nakasanla ang atm, .. so sad..","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","kayong ma nasasaktan ng dahil sa 4ps bakit dahil hindi kayo member bakit kasi nag hahabol kayo ng pera na hindi naman galing sa inyo pakapal ba tlga ng mukha sa mundong ito kung sino pa may pera sya gusto magpa hirap sa mga kapos palad palibhasa kaso nah uumapaw ng pagka mata pubri ang erwin tulfo na yan pano pa kung galing yon sa bulsa niya siguro ika mamatay niya.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","2 thessalonians 3:10 means that if someone is unwilling to work, they should not expect to be supported by others. if this program serves as a vehicle for a politician to catapult it to power, scrap it now. the end doesn't' justifies the means.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","erwin denga-ey loguibis tama po senador...baka mas lalo na namang sayang ang pera ng bayanmag survey po sana anong livelihood ang naging successful po","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","4ps parang sila lang tao sa pinas na lagi nyo silang inaalalayan......ang hindi nyo lng alan mga membro ng 4ps na yan sila pa ang may kaya sa buhay samantala mga talagang mga nahihirapan sa buhay hindi nyo pinapansin.....mga opisyal nga naman bukang bibig nila 4ps","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bawal po ang umasenso 4p's beneficiaries matatanggal po sila sa lista","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","pantawid s mga taga ilog ang ayudahan.. pamilyang nktira s kbundukn ayudahan.. pilipino lang dhilan para hati s ayuda. pragrama maganda dhil s ayuda","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dapat lng tanggalin na yang 4p's kasi na aabuso lng yong totoibg mahihirap at matitino hndi nabibigyan ng tulobg pero yong mga sugarol at lasengera at lasengero kasama na mga adik nabibigyan.. anong klaseng gibyerno meron ang pilipinas puro nlang corruption.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","pwede naman parehas hanggang makaahon sila sa kahirapn at maging productive","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","masaklap pa dyan yung iba pinang scatter lang. aroy ko... tapos ayaw pa ni bbm at tengco ng outright ban sa online gambling. arayyyyy kooo","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sana suportahan ito at mag materialize. ibalik ang dignidad sa mga tao.","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","yan ang maganda nyong gawin .","positive","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","y nada ang livelihood sen, mostly ang nag organize sa livelihood ,sumabay sa panahon ,sa kanila napunta ang malaking halaga,pagnakuha na nila pabayaan ka nalng .","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","scrap 4p's long term livelihood program is the best.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","eu paano yan kung nasa bahay mo nasa bukid na at hndi pa marunong magbasa lalago ba ang negosyo","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dapat noon pa ito inalis kasi maraming pulitiko ang mas higit na nakikinabang kesa sa tunay na mahirap","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","give rice per month every household at walamg gutom ang pilipinas...scrap ang 4ps","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","give them employment. kailangan ng mga pilipino, stable jobs with benefits like retirement, health insurance, etc. vacation and sick leaves for the family. kung puro cash papamigay nyo, madali maubos. paano kung malugi?","negative","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bakit po ang confidential fund at pork barel ng mga nkaupo na nag aabuso sa posisyon sa gobyerno ay ayaw nyong imbestigahan? kami pong mahihirap lagi ang target nyo senator.? malaki pong tulong yan sa pag aaral ng aming mga anak.napakahirap po magpa aral sa ngayon sabay pa po ang pagtaas ng mga bilihin.. inaamin naman po namin na may pasaway pero mas marami po ang may malasakit sa programa dahil alam nila na dahil dto maaring makatawid ang kanilang mga anak sa pag aaral.","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ibalik sa mga probinsya nila. doon bigyan ng kabuhayan.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ibaba ang presyz ng bilihin n ang lahat mag benepisyo","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","dapat siguro aralin muna ang programa bago dada ng dada...","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","teach them how to catch a fish bird brains:victory_hand:","negative","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","educate people about family planning also. even if bigyan mo yan ng capital at livelihood yong iba sa kanila pag wala ng pera, magagastos yong capital. if walang family planning lolobo pa rin ang population and there's no end to the cycle. without family planning milyon2 ang dagdag sa problema every year.","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ginagawa lang tamad ang mga beneficiaries ng 4ps..","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ano po ang naiba? nilakihan niyo lang yung budget para sa “beneficiaries” by using the term “capital”.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","sarap buhay mga 4ps pa yusi yusi nlng mga anak walng kain wala baon nanay nasa tong itan","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","maslkas p mg bisyo ang mga asawa my 4ps sugal alak sigarilyo kya dapat alisin n yan kmi ng shoulder ngbbyad ng buwis","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","kailangan din nilang magbanat banat ng buto, responsibilidad na rin nilang pangasiwaan at palaguin kung ilan man yang ibibigay.","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bigay nalang sa maykapansanan o sa senior","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","create processing plants, assembly plants, self generating projects for community","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","marami naman natulungan ng 4ps bakit nya tanggalin makatulong yan sa mga studjante","neutral","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tangalin 4ps at tupad wla ginagawa sumusweldo mana ky sarabwang","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","ang social welfare programs eh hindi tinatanggal ng walang malaking epektong negatibo sa mga mahihirap nating mamamayan. panagutin ang mga nandadaya pero ituloy ang supporta sa mga mahihirap na kababayan","neutral","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","tama sor.para matutu ng magtrabaho parapagkain","positive","objective"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","pati akap tanggalin na dapat, teach them how to fish ika nga","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","free education with allowance nlng!!! para lahat po maka benefits, minsan ksi pili dn ung mkaka pasok s 4ps..","neutral","non_polarized"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","bigyan ng trabaho imbis na ayuda , pero bakit naman gagawin ng politiko yon? eh di wala syang makucorrupt","negative","partisan"
"tulfo: scrap 4ps, provide livelihood capital to beneficiaries instead","may slp program naman si dswd ah. 4ps majority beneficiaries nyan. livehood yan ma may capital build up.","neutral","objective"
